,industry,stock,Short_window,Long_window,Final_funds,Percentage_change,buy_and_hold
0,energy,XOM,20,40,276079.7313664273,176.07973136642732,280424.83104741166
1,energy,CVX,20,50,195394.5869723887,95.39458697238871,203651.07152454258
2,energy,SHEL,20,40,196021.3775608512,96.02137756085119,195240.87200302054
3,energy,COP,20,100,316444.2922083919,216.4442922083919,314724.6611345024
4,energy,TTE,20,100,187788.47709277872,87.78847709277872,182912.97151616318
5,energy,EQNR,20,40,219456.55490080267,119.45655490080267,203282.16000331636
6,energy,BP,20,100,196919.05853672695,96.91905853672695,190926.56701229262
7,energy,PBR-A,20,40,201713.57880466437,101.71357880466437,149818.17765669388
8,energy,PBR,20,21,537292.2321424134,437.29223214241335,381242.2584083704
9,energy,ENB,20,21,127711.61745635918,27.71161745635918,135017.63905239583
10,energy,EOG,20,100,281612.13736586284,181.61213736586285,267864.5291580186
11,energy,OXY,20,50,311265.3407816355,211.26534078163547,334005.6321743825
12,energy,CNQ,20,50,327883.7442716391,227.8837442716391,295585.0299209718
13,energy,EPD,5,7,162644.79505258755,62.644795052587554,177045.35091097016
14,energy,PXD,20,40,240986.15049019118,140.9861504901912,246692.44551368136
15,energy,SLB,20,50,271624.51380867645,171.62451380867645,234967.66396240098
16,energy,MPC,20,21,402576.16024156194,302.5761602415619,446044.4186562284
17,energy,TRP,20,21,110398.18412887883,10.398184128878828,115309.70531078275
18,energy,DVN,20,200,420861.39798483055,320.86139798483055,311834.88390814845
19,energy,VLO,20,21,271777.88198344584,171.77788198344584,281726.35368045425
20,financials,BRK-B,20,21,165234.2323276729,65.23423232767288,171043.99440571174
21,financials,BRK-A,20,21,166076.05346643782,66.07605346643783,171602.64900662252
22,financials,V,7,9,145265.2116582469,45.2652116582469,130062.26142178978
23,financials,JPM,20,30,142267.39801203914,42.26739801203914,152103.31613669088
24,financials,MA,7,9,141400.69607346982,41.400696073469824,133468.9310323908
25,financials,BAC,20,40,116002.54006263954,16.002540062639543,119865.4369770165
26,financials,WFC,20,40,172245.8422982064,72.24584229820641,178335.32191001892
27,financials,MS,21,50,136720.3534541702,36.720353454170194,141988.71789136325
28,financials,SCHW,21,40,124476.63534008387,24.47663534008387,123961.67072726174
29,financials,RY,20,21,133419.25802054047,33.41925802054047,133690.9687496794
30,financials,SPGI,9,10,152208.16421525378,52.20816421525378,139899.04873825968
31,financials,HSBC,21,40,174572.31573633663,74.57231573633663,177360.20183442227
32,financials,TD,20,40,121184.81093321498,21.184810933214976,122715.03334020056
33,financials,BX,5,7,216597.9006362087,116.59790063620872,223577.14204435452
34,financials,AXP,21,30,162343.80540275117,62.34380540275117,182435.21930031292
35,financials,GS,20,40,145631.9121152717,45.6319121152717,157705.6326046019
36,financials,PYPL,20,200,102709.75505203118,2.709755052031178,26914.452682719755
37,financials,HDB,5,21,91059.14225139537,-8.940857748604628,80294.42144718413
38,financials,BLK,40,50,121206.47011965656,21.206470119656558,119615.5504573811
39,financials,C,20,30,104648.82412121126,4.648824121211263,104558.10694781932
40,materials,LIN,20,21,171889.594383574,71.889594383574,164296.14239489613
41,materials,BHP,21,40,113756.55568922432,13.756555689224317,111659.68374293079
42,materials,RIO,20,50,122160.88088067078,22.16088088067078,117148.75385870748
43,materials,NTR,21,200,173808.1175988643,73.80811759886431,112415.7043460373
44,materials,SHW,21,50,134544.94736154733,34.54494736154732,132099.4302016347
45,materials,VALE,5,20,116883.03838628286,16.883038386282863,103188.89015098056
46,materials,APD,30,100,114328.09289815382,14.328092898153816,103379.88456623803
47,materials,ECL,9,10,101621.14015582012,1.6211401558201177,96293.0472042136
